relaxation: damping factor,relaxation: sweeps,time
0.95,1,12.1893
0.89,1,12.1965
0.835,1,12.1974
0.875,1,12.2245
0.86,1,12.2347
0.83,1,12.2355
1.04,1,12.2453
0.98,1,12.2473
1.03,1,12.2487
1.025,1,12.2631
0.905,1,12.264
0.995,1,12.266
0.965,1,12.3233
0.825,1,12.327
0.84,1,12.3279
1.07,1,12.3291
0.93,1,12.34
0.915,1,12.3436
0.805,1,12.3491
0.97,1,12.3494
0.885,1,12.3502
0.87,1,12.3523
0.845,1,12.355
0.96,1,12.3555
0.935,1,12.3582
0.99,1,12.3587
0.85,1,12.3593
0.855,1,12.3616
1.0,1,12.3659
0.945,1,12.3694
0.8,1,12.3696
0.91,1,12.3707
1.085,1,12.3735
0.81,1,12.3769
0.955,1,12.378
0.975,1,12.383
1.02,1,12.394
1.01,1,12.396
1.005,1,12.4011
0.895,1,12.4014
0.94,1,12.4025
0.985,1,12.4026
1.015,1,12.405
0.865,1,12.4078
0.925,1,12.4107
0.88,1,12.4157
0.9,1,12.4184
1.045,1,12.428
0.82,1,12.4309
0.815,1,12.4313
1.05,1,12.4417
1.035,1,12.4619
1.06,1,12.4687
1.065,1,12.4756
1.055,1,12.4816
1.075,1,12.4824
0.92,1,12.5051
1.09,1,12.5086
1.095,1,12.5525
1.1,1,12.5591
1.06,2,12.5603
0.945,2,12.6102
1.045,2,12.6374
1.025,2,12.6448
1.015,2,12.6612
1.04,2,12.6747
0.99,2,12.6764
0.985,2,12.6775
1.02,2,12.6813
0.85,2,12.6854
1.035,2,12.6859
1.03,2,12.6908
1.005,2,12.6909
0.955,2,12.6951
0.975,2,12.696
0.83,2,12.699
0.995,2,12.6995
1.01,2,12.7018
0.97,2,12.7087
0.835,2,12.7104
1.07,2,12.7107
1.08,2,12.7145
1.095,2,12.7246
0.925,2,12.7316
0.94,2,12.7323
0.96,2,12.7357
1.055,2,12.7366
0.98,2,12.7419
1.1,2,12.742
0.91,2,12.7492
0.875,2,12.7531
1.09,2,12.7531
1.0,2,12.7589
0.865,2,12.7631
0.87,2,12.7659
1.085,2,12.7662
0.95,2,12.7688
1.065,2,12.7741
0.84,2,12.775
0.935,2,12.7754
0.885,2,12.7788
0.93,2,12.78
0.815,2,12.7808
0.82,2,12.7827
0.92,2,12.7829
1.05,2,12.7839
0.895,2,12.7939
1.075,2,12.7941
0.845,2,12.8047
0.825,2,12.8074
0.9,2,12.8114
0.89,2,12.8125
0.86,2,12.8162
0.855,2,12.8179
0.88,2,12.8226
0.805,2,12.8246
0.965,2,12.827
0.8,2,12.8294
0.915,2,12.8324
0.81,2,12.8396
0.905,2,12.8604
1.08,1,13.0048
